raw_text,label
Your Office365 password expires in 24 hours. Click here to keep your current password: http://tinyurl.com/50199,1
URGENT ACTION REQUIRED: Your bank account has been suspended. Please verify your login immediately by visiting http://192.168.214.42/secure-update to avoid permanent account deletion.,1
"Here is the invoice you requested for the software licensing.

Ref: 7513",0
"Your Amazon order #123-456 has shipped and will arrive by Tuesday.

Ref: 3281",0
"Here is the invoice you requested for the software licensing.

Ref: 4753",0
"Reminder: The weekly sync is moved to 3 PM EST tomorrow.

Ref: 1041",0
SECURITY ALERT: Unauthorized access detected. You must validate your account immediately at http://10.0.218.38/admin-login,1
Your Office365 password expires in 24 hours. Click here to keep your current password: http://tinyurl.com/66315,1
"Your Amazon order #123-456 has shipped and will arrive by Tuesday.

Ref: 4727",0
"Reminder: The weekly sync is moved to 3 PM EST tomorrow.

Ref: 3062",0
"Can we reschedule our 1:1? I have a conflict with the marketing review.

Ref: 2484",0
Invoice Payment Overdue. Please review the secure document here: http://172.16.71.183/invoice.pdf.exe,1
"Can we reschedule our 1:1? I have a conflict with the marketing review.

Ref: 7911",0
SECURITY ALERT: Unauthorized access detected. You must validate your account immediately at http://10.0.185.56/admin-login,1
"Your Amazon order #123-456 has shipped and will arrive by Tuesday.

Ref: 1285",0
URGENT ACTION REQUIRED: Your bank account has been suspended. Please verify your login immediately by visiting http://192.168.101.110/secure-update to avoid permanent account deletion.,1
Invoice Payment Overdue. Please review the secure document here: http://172.16.200.247/invoice.pdf.exe,1
URGENT ACTION REQUIRED: Your bank account has been suspended. Please verify your login immediately by visiting http://192.168.237.165/secure-update to avoid permanent account deletion.,1
"Dear Customer, your P​a​yp​a​l account has a billing issue. Go to http://bit.ly/37203 to update your info within 24 hours.",1
"Hi team, please see the attached report for the Q3 earnings. Let me know if you have questions.

Ref: 1715",0
Invoice Payment Overdue. Please review the secure document here: http://172.16.176.86/invoice.pdf.exe,1
Your Office365 password expires in 24 hours. Click here to keep your current password: http://tinyurl.com/50668,1
"Hi team, please see the attached report for the Q3 earnings. Let me know if you have questions.

Ref: 3226",0
"Here is the invoice you requested for the software licensing.

Ref: 9548",0
"Your Amazon order #123-456 has shipped and will arrive by Tuesday.

Ref: 6856",0
Invoice Payment Overdue. Please review the secure document here: http://172.16.167.249/invoice.pdf.exe,1
"Hi team, please see the attached report for the Q3 earnings. Let me know if you have questions.

Ref: 1669",0
Your Office365 password expires in 24 hours. Click here to keep your current password: http://tinyurl.com/77815,1
Invoice Payment Overdue. Please review the secure document here: http://172.16.54.194/invoice.pdf.exe,1
URGENT ACTION REQUIRED: Your bank account has been suspended. Please verify your login immediately by visiting http://192.168.244.40/secure-update to avoid permanent account deletion.,1
"Here is the invoice you requested for the software licensing.

Ref: 1248",0
"Can we reschedule our 1:1? I have a conflict with the marketing review.

Ref: 4748",0
"Reminder: The weekly sync is moved to 3 PM EST tomorrow.

Ref: 2148",0
"Dear Customer, your P​a​yp​a​l account has a billing issue. Go to http://bit.ly/87895 to update your info within 24 hours.",1
"Hi team, please see the attached report for the Q3 earnings. Let me know if you have questions.

Ref: 5110",0
Your Office365 password expires in 24 hours. Click here to keep your current password: http://tinyurl.com/76516,1
URGENT ACTION REQUIRED: Your bank account has been suspended. Please verify your login immediately by visiting http://192.168.175.41/secure-update to avoid permanent account deletion.,1
SECURITY ALERT: Unauthorized access detected. You must validate your account immediately at http://10.0.231.76/admin-login,1
SECURITY ALERT: Unauthorized access detected. You must validate your account immediately at http://10.0.244.23/admin-login,1
SECURITY ALERT: Unauthorized access detected. You must validate your account immediately at http://10.0.141.59/admin-login,1
"Here is the invoice you requested for the software licensing.

Ref: 8857",0
SECURITY ALERT: Unauthorized access detected. You must validate your account immediately at http://10.0.171.102/admin-login,1
"Can we reschedule our 1:1? I have a conflict with the marketing review.

Ref: 8918",0
"Can we reschedule our 1:1? I have a conflict with the marketing review.

Ref: 5572",0
"Your Amazon order #123-456 has shipped and will arrive by Tuesday.

Ref: 5144",0
"Here is the invoice you requested for the software licensing.

Ref: 2741",0
Invoice Payment Overdue. Please review the secure document here: http://172.16.104.176/invoice.pdf.exe,1
Your Office365 password expires in 24 hours. Click here to keep your current password: http://tinyurl.com/62488,1
"Hi team, please see the attached report for the Q3 earnings. Let me know if you have questions.

Ref: 7251",0
"Dear Customer, your P​a​yp​a​l account has a billing issue. Go to http://bit.ly/25341 to update your info within 24 hours.",1
Invoice Payment Overdue. Please review the secure document here: http://172.16.60.165/invoice.pdf.exe,1
Your Office365 password expires in 24 hours. Click here to keep your current password: http://tinyurl.com/28951,1
"Reminder: The weekly sync is moved to 3 PM EST tomorrow.

Ref: 4383",0
"Reminder: The weekly sync is moved to 3 PM EST tomorrow.

Ref: 2844",0
Your Office365 password expires in 24 hours. Click here to keep your current password: http://tinyurl.com/90456,1
